id,text,keywords,funny,category
0,"- ¡Rápido, necesitamos sangre!
- Yo soy 0 positivo.
- Pues muy mal, necesitamos una mentalidad optimista.",sangre,1,otros
1,"- ¿Cuál es el mejor portero del mundial? 
- Evidente ¡el de Para-guay!","futbol,porteros",1,otros
2,"El otro día unas chicas llamarón a mi puerta y me pidieron una pequeña donación para una piscina local. 
Les di un garrafa de agua.","dinero,agua",1,otros
3,"- Andresito, ¿qué planeta va después de Marte? 
- Miércole, señorita.",planetas,1,profesiones
4,"- ¿Por qué Bob Esponja no va al gimnasio? 
- Porque ya está cuadrado.","esponja,gimnasios",1,otros
5,"Van dos ciegos y le dice uno al otro: 
- Ojalá lloviera... 
- Ojalá yo también...",ciegos,1,otros
6,"Noticia de última hora!! 

Muere una suegra atropellada en Canarias. 

Y esto es todo, las 8 en España y UNA menos en Canarias...","canarias,coches,noticias",2,familia
7,"– Mamá, mamá, en el colegio dicen que estoy loco.
– ¿Y quién dice eso de ti?
– ...Me lo dicen las sillas...","locos,sillas",1,familia
8,"– Mamá, mamá, ¿me haces un bocata de jamón?
– ¿York?
– Sí, túrk.","madres,jamón",1,otros
9,"- Qué pasa si te expulsan de cuatro univerdades?
- ....
- Que estás perdiendo facultades","universitarios,universidades",1,otros
10,"- Qué es un pelo en una cama?
- ...
- El bello durmiente","cuentos,pelos",1,otros
11,"- Qué le dice el techo del comedor al techo de la cocina?
- ....
- Te hecho de menos!",casas,1,otros
12,"- Qué pasa si se va la luz en una escuela privada?
- ....
- No se ve ni un pijo!","pijos,escuelas",1,otros
13,"- En qué se convierte un país en el que se prohíben los tacos?
- .... 
- En un país destacado!",país,1,otros
14,"- Qué es Messi en 45 días?
- ........
- Mes y medio!","deportistas,futbol,Messi",1,otros
15,"- Qué pasaría si el mundo en lugar de ser una esfera fuera un cubo?
- ....
- Pues que todos seríamos cubanos","cubanos,planetas",1,otros
16,"- Soy una persona muy saludable.
- ¿Haces mucho deporte y comes sano?
- No. Es que la gente me saluda por la calle y yo... pues les devuelvo el saludo.","comidas,deportes",1,familia
17,"- Que hamster más bonito
- Si se llama Sam
- ¿Y dónde lo compraste?
- En Hamsterdam",ratones,1,animales
18,"- Te detesto.
- K de kilo.
- ¿Qué dices?
- No sé... has empezado tú.","absurdos,letras",1,otros
19,"- No tienes ni idea de lo que soporto
- Una ciudad de Portugal",ciudades,1,otros
20,"Un transportista llevaba una partida de pingüinos hacia el zoológico, cuando a medio camino se le estropea el camión refrigerado. Preocupado, trata de reparar el problema pero ve pasar un camión repartidor de leche y consigue que se detenga. 

Entonces le dice al lechero: 
- Mira, te voy a dar 500 euros para que me hagas el favor de llevar estos pingüinos al zoológico.

El lechero acepta el dinero y se lleva con gusto los pingüinos en su camión refrigerado.
Mientras tanto, el transportista logra arreglar el daño, y de inmediato enfila hacia el zoológico.

En cuanto llega, ve salir al lechero, con los pingüinos detrás de él, en fila. El chófer le pregunta al lechero:

- ¿A donde vas con los pingüinos?
El lechero se lo queda mirando y le responde:

- Ya los llevé al zoológico, pero como me sobró dinero, ahora los pensaba llevar al cine...""","zoológicos,pingüinos,camioneros",3,otros
21,"- ¿Cuál es la última letra del abecedario?
- La “O”.
- ¿No es la “Z”?
- ¡No hombre! Si no sería abecedarioz.",lenguas,1,otros
22,"- Señora, disculpe pero su vuelo viene demorado.
- ¡Ay, que emoción, es mi color favorito!",colores,1,otros
23,"– ¿Cómo se declara el acusado?
– Con flores y arrodillado, la verdad juez, soy un hombre bastante tradicional…","jueces,juez",1,otros
24,"Se encuentran dos amigos:
– ¿Sabes? Hoy me he comprado una paloma que cuesta diez mil euros.
– ¿Mensajera?
– No no, no te exagero",palomas,3,animales
25,"- ¿Que le dice un chinche a otro chinche?
- Te voy a ser chinchero, yo te quiero","malísimos,chinches",1,animales
26,"- ¿Qué le dice una morsa a otra morsa?
- ¿Almorsamos o qué?","desayunos,morsas,malísimos",1,animales
27,"- Estoy leyendo un libro nuevo que se llama ""La honestidad y otros valores"" 
- Que bueno, ¿dónde lo compraste? 
- Lo robé de la librería de la esquina","librerías,libros",3,profesiones
28,"- Mamá, soy fea? 
- No hija, tienes lo que todo hombre desearía para si. 
- En serio? 
- Si, tienes voz gruesa, espalda ancha y pelos en el pecho.","madres,hijas,hombres",1,otros
29,Todo era risas hasta que nos dimos cuenta que el tartamudo quería JAMÓN,tartamudos,1,otros
30,"Un hombre entra en una panadería…
-¿Tiene usted pan de ayer?
-Sí
-Pues no haber hecho tanto, tonto.
…Y se va",panaderías,1,otros
31,"Una pera esperando el autobús. Llega una manzana y le pregunta:
- ¿Hace mucho que espera?
- Toda la vida.","frutas,peras,manzanas,autobuses",1,otros
32,"- Papá, papá ¿vendrás a mi graduación?
- No, hijo. Cuando llegues a casa ya me enseñarás tus gafas nuevas.","oculistas,gafas,universidades",1,otros
33,"Entra un borracho en una comisaría: 
- ¿Podría ver al hombre que robó ayer en mi casa? 
- ¿Y para qué lo quiere ver? 
- Para saber cómo entró sin despertar a mi mujer.",comisarías,3,profesiones
34,"- Que significa WHY en inglés?
- Por qué.
- Por saberlo","idiomas,inglés",1,otros
35,"- No sé si conseguiré enamorar a esa chica...
- ¿Tienes vacas y ovejas?
- Sí.
- Pues ya tienes mucho ganado.","vacas,ovejas",3,animales
36,"- Papá, que significa sintaxis
- Que tienes que coger el autobús
- Gracias papá, eres genial
- Uno que ha estudiao","taxis,autobús,padres",3,familia
37,"Una cita por Tinder, todo son nervios:
- Hola, soy Antonio
- Hola... soy Sara... Vaya, si eres vizco
- No, lo que pasa es que tengo un ojo tan bonito que el otro se lo queda mirando","ligar,tinder",1,otros
38,"-¿A qué te dedicas?
- Básicamente a respirar. No gano mucho, pero me da para vivir.",trabajos,1,otros
